Feature_ID	List
1690_gene	1hr
2143_gene	1hr
583_gene	1hr
990_gene	1hr
737_gene	1hr
1263_gene	1hr
2145_gene	1hr
1366_gene	1hr
584_gene	1hr
155_gene	1hr
1535_gene	1hr
157_gene	1hr
2213_gene	1hr
1282_gene	1hr
505_gene	1hr
1327_gene	1hr
1549_gene	1hr
738_gene	1hr
2596_gene	1hr
1743_gene	1hr
404_gene	1hr
1065_gene	1hr
1440_gene	1hr
1288_gene	1hr
1604_gene	1hr
851_gene	1hr
1445_gene	1hr
1609_gene	1hr
2195_gene	1hr
2464_gene	1hr
409_gene	1hr
38_gene	1hr
741_gene	1hr
1861_gene	1hr
2181_gene	1hr
2042_gene	1hr
1308_gene	1hr
1917_gene	1hr
1756_gene	1hr
1227_gene	1hr
1838_gene	1hr
1909_gene	1hr
1546_gene	1hr
629_gene	1hr
582_gene	1hr
1597_gene	1hr
26_gene	1hr
1464_gene	1hr
1203_gene	1hr
1557_gene	1hr
247_gene	1hr
2144_gene	1hr
1877_gene	1hr
2354_gene	1hr
1309_gene	1hr
1619_gene	1hr
1904_gene	1hr
472_gene	1hr
2204_gene	1hr
1982_gene	1hr
1347_gene	1hr
2469_gene	1hr
1108_gene	1hr
566_gene	1hr
1367_gene	1hr
1365_gene	1hr
2479_gene	1hr
2259_gene	1hr
190_gene	1hr
1936_gene	1hr
2634_gene	1hr
854_gene	1hr
1946_gene	1hr
1050_gene	1hr
618_gene	1hr
10_gene	1hr
1622_gene	1hr
1000_gene	1hr
1196_gene	1hr
39_gene	1hr
555_gene	1hr
2276_gene	1hr
2097_gene	1hr
2322_gene	1hr
1246_gene	1hr
298_gene	1hr
1935_gene	1hr
1_gene	1hr
1404_gene	1hr
2345_gene	1hr
1174_gene	1hr
585_gene	1hr
2265_gene	1hr
1742_gene	1hr
3032_gene	1hr
2909_gene	1hr
2696_gene	1hr
3192_gene	1hr
3600_gene	1hr
3570_gene	1hr
3641_gene	1hr
2941_gene	1hr
3599_gene	1hr
3287_gene	1hr
3574_gene	1hr
3124_gene	1hr
3191_gene	1hr
2938_gene	1hr
3639_gene	1hr
3733_gene	1hr
3477_gene	1hr
2848_gene	1hr
3395_gene	1hr
3181_gene	1hr
3427_gene	1hr
3624_gene	1hr
3465_gene	1hr
2749_gene	1hr
2932_gene	1hr
3233_gene	1hr
3687_gene	1hr
3491_gene	1hr
3080_gene	1hr
2648_gene	1hr
3337_gene	1hr
3580_gene	1hr
4307_gene	1hr
3894_gene	1hr
4470_gene	1hr
4306_gene	1hr
4557_gene	1hr
4550_gene	1hr
4047_gene	1hr
4698_gene	1hr
4695_gene	1hr
4908_gene	1hr
4532_gene	1hr
4107_gene	1hr
4019_gene	1hr
4386_gene	1hr
4094_gene	1hr
4407_gene	1hr
4950_gene	1hr
4593_gene	1hr
4827_gene	1hr
4371_gene	1hr
4168_gene	1hr
4353_gene	1hr
4944_gene	1hr
4549_gene	1hr
4368_gene	1hr
4949_gene	1hr
4370_gene	1hr
4046_gene	1hr
4308_gene	1hr
4116_gene	1hr
4689_gene	1hr
4284_gene	1hr
4805_gene	1hr
4214_gene	1hr
4460_gene	1hr
4690_gene	1hr
4469_gene	1hr
4901_gene	1hr
4134_gene	1hr
4369_gene	1hr
6602_gene	1hr
6594_gene	1hr
5637_gene	1hr
5590_gene	1hr
6604_gene	1hr
5505_gene	1hr
5835_gene	1hr
6125_gene	1hr
5534_gene	1hr
6468_gene	1hr
6419_gene	1hr
5554_gene	1hr
5317_gene	1hr
6570_gene	1hr
6238_gene	1hr
6641_gene	1hr
6217_gene	1hr
6677_gene	1hr
5993_gene	1hr
6035_gene	1hr
6655_gene	1hr
6077_gene	1hr
5429_gene	1hr
6580_gene	1hr
5676_gene	1hr
5477_gene	1hr
5565_gene	1hr
5526_gene	1hr
5985_gene	1hr
6039_gene	1hr
5454_gene	1hr
6097_gene	1hr
6305_gene	1hr
6000_gene	1hr
5333_gene	1hr
6304_gene	1hr
6694_gene	1hr
6456_gene	1hr
6693_gene	1hr
6601_gene	1hr
5595_gene	1hr
6187_gene	1hr
6480_gene	1hr
5794_gene	1hr
6094_gene	1hr
5189_gene	1hr
6026_gene	1hr
5996_gene	1hr
6342_gene	1hr
6616_gene	1hr
6188_gene	1hr
6661_gene	1hr
5525_gene	1hr
5868_gene	1hr
6098_gene	1hr
5924_gene	1hr
6581_gene	1hr
6194_gene	1hr
6719_gene	1hr
5874_gene	1hr
6087_gene	1hr
6499_gene	1hr
5372_gene	1hr
8273_gene	1hr
7386_gene	1hr
8081_gene	1hr
7222_gene	1hr
8404_gene	1hr
7041_gene	1hr
8047_gene	1hr
7123_gene	1hr
7708_gene	1hr
7229_gene	1hr
7366_gene	1hr
7069_gene	1hr
7825_gene	1hr
7484_gene	1hr
7531_gene	1hr
7614_gene	1hr
7976_gene	1hr
8125_gene	1hr
7546_gene	1hr
7438_gene	1hr
7971_gene	1hr
7436_gene	1hr
7564_gene	1hr
7834_gene	1hr
7816_gene	1hr
7481_gene	1hr
7221_gene	1hr
8124_gene	1hr
7391_gene	1hr
7533_gene	1hr
7586_gene	1hr
8080_gene	1hr
7676_gene	1hr
7053_gene	1hr
7598_gene	1hr
7058_gene	1hr
8395_gene	1hr
8174_gene	1hr
7417_gene	1hr
7597_gene	1hr
7274_gene	1hr
7175_gene	1hr
7841_gene	1hr
8452_gene	1hr
8226_gene	1hr
8114_gene	1hr
7711_gene	1hr
7534_gene	1hr
8040_gene	1hr
7879_gene	1hr
7964_gene	1hr
8097_gene	1hr
7755_gene	1hr
8303_gene	1hr
8096_gene	1hr
8099_gene	1hr
8386_gene	1hr
7520_gene	1hr
7270_gene	1hr
7390_gene	1hr
7579_gene	1hr
7652_gene	1hr
7459_gene	1hr
7230_gene	1hr
7268_gene	1hr
6940_gene	1hr
7547_gene	1hr
7675_gene	1hr
8234_gene	1hr
9330_gene	1hr
9394_gene	1hr
9288_gene	1hr
9250_gene	1hr
9206_gene	1hr
9297_gene	1hr
8980_gene	1hr
9315_gene	1hr
9062_gene	1hr
9057_gene	1hr
8802_gene	1hr
9278_gene	1hr
9048_gene	1hr
8881_gene	1hr
9046_gene	1hr
8880_gene	1hr
9151_gene	1hr
8663_gene	1hr
8567_gene	1hr
8886_gene	1hr
9152_gene	1hr
9112_gene	1hr
9401_gene	1hr
8817_gene	1hr
8664_gene	1hr
8812_gene	1hr
9323_gene	1hr
9471_gene	1hr
8706_gene	1hr
10465_gene	1hr
9691_gene	1hr
9900_gene	1hr
10248_gene	1hr
10474_gene	1hr
9914_gene	1hr
10500_gene	1hr
10458_gene	1hr
10144_gene	1hr
10566_gene	1hr
10247_gene	1hr
9845_gene	1hr
10707_gene	1hr
10496_gene	1hr
9740_gene	1hr
10596_gene	1hr
10459_gene	1hr
10487_gene	1hr
10550_gene	1hr
10633_gene	1hr
10724_gene	1hr
10653_gene	1hr
10165_gene	1hr
9734_gene	1hr
10639_gene	1hr
10077_gene	1hr
10442_gene	1hr
9887_gene	1hr
10413_gene	1hr
9685_gene	1hr
10046_gene	1hr
10271_gene	1hr
10610_gene	1hr
9856_gene	1hr
9923_gene	1hr
10079_gene	1hr
10404_gene	1hr
10713_gene	1hr
10706_gene	1hr
10122_gene	1hr
10312_gene	1hr
9995_gene	1hr
9729_gene	1hr
